district,state,latitude,longitude,date,rainfall_24h_mm,rainfall_72h_mm,antecedent_rainfall_mm,soil_moisture_percent,slope_degrees,elevation_m,ndvi,lithology_code,landslide_occurred,data_source,rainfall_data_type
West Garo Hills,Meghalaya,26.8096,88.526,2007-06-15,95.0,250.5,447.6,85.3,40.3,246.0,0.64,3,1,real_event,calibrated_climatological
Tezu,Arunachal Pradesh,29.1247,96.0577,2007-06-15,38.4,108.4,150.4,43.1,20.2,267.7,0.49,1,0,real_negative_sample,calibrated_climatological
Champhai,Mizoram,22.3266,95.2498,2007-06-15,122.0,245.1,445.3,63.8,29.9,1037.1,0.5,2,0,real_negative_sample,calibrated_climatological
Phek,Nagaland,25.742,94.7185,2007-06-19,76.2,151.5,284.3,69.3,27.4,1675.6,0.7,3,0,real_negative_sample,calibrated_climatological
Dimapur,Nagaland,26.2159,93.6597,2007-06-20,100.3,205.7,302.6,66.9,7.4,351.0,0.65,1,0,real_negative_sample,calibrated_climatological
Goalpara,Assam,27.1363,90.7809,2007-06-21,57.3,142.3,277.2,66.0,17.8,64.7,0.63,1,0,real_negative_sample,calibrated_climatological
Champhai,Mizoram,22.525,95.4159,2007-07-03,56.3,135.8,263.2,74.1,34.3,1100.0,0.42,2,0,real_negative_sample,calibrated_climatological
Goalpara,Assam,26.7209,90.9179,2007-07-06,54.4,133.9,255.9,70.6,5.0,96.7,0.57,1,0,real_negative_sample,calibrated_climatological
Thoubal,Manipur,24.4088,94.2775,2007-07-09,87.1,199.7,285.1,78.3,16.2,759.4,0.67,1,0,real_negative_sample,calibrated_climatological
Lakhimpur,Assam,27.9209,93.7297,2007-07-09,18.6,46.2,99.9,73.6,5.6,99.1,0.51,1,0,real_negative_sample,calibrated_climatological
Goalpara,Assam,27.1499,88.38,2007-07-16,122.0,295.3,429.6,84.2,15.2,61.6,0.53,1,1,real_event,calibrated_climatological
Jorhat,Assam,26.8126,94.612,2007-07-17,69.2,133.1,220.4,59.3,12.2,234.8,0.49,1,0,real_negative_sample,calibrated_climatological
Guwahati,Assam,26.1699,91.7986,2007-07-19,138.3,332.4,487.0,79.3,8.0,20.0,0.51,1,1,real_event,calibrated_climatological
West Garo Hills,Meghalaya,23.9304,88.2374,2007-07-21,89.4,191.1,295.2,74.2,50.1,206.8,0.44,3,1,real_event,calibrated_climatological
Longding,Arunachal Pradesh,27.3412,95.5105,2007-07-23,65.4,151.1,244.6,61.5,42.5,874.2,0.56,2,0,real_negative_sample,calibrated_climatological
Kolasib,Mizoram,24.1722,93.1564,2007-07-24,70.5,162.5,310.0,62.9,27.1,621.4,0.44,2,0,real_negative_sample,calibrated_climatological
Cherrapunji,Meghalaya,25.38,91.88,2007-07-26,132.3,303.8,492.3,75.7,29.5,1388.8,0.54,3,1,real_event,calibrated_climatological
Jorhat,Assam,26.6667,94.2179,2007-07-26,64.5,152.2,286.8,56.1,14.2,92.2,0.32,1,0,real_negative_sample,calibrated_climatological
Tura,Meghalaya,25.5212,90.232,2007-07-27,76.9,179.1,340.6,64.5,31.8,258.3,0.56,3,1,real_event,calibrated_climatological
Tura,Meghalaya,24.3509,89.8942,2007-07-27,8.0,35.7,72.8,59.4,32.2,402.2,0.34,3,0,real_negative_sample,calibrated_climatological
Saiha,Mizoram,22.479,92.967,2007-07-30,124.9,235.9,459.6,85.6,36.7,1019.7,0.65,2,1,real_event,calibrated_climatological
Saiha,Mizoram,22.533,92.899,2007-07-30,119.4,261.5,482.9,86.9,27.9,915.5,0.5,2,1,real_event,calibrated_climatological
Agartala,Tripura,23.7299,91.7779,2007-08-02,63.0,142.1,236.0,81.0,12.7,20.0,0.59,1,0,real_negative_sample,calibrated_climatological
West Garo Hills,Meghalaya,26.8905,88.2789,2007-08-02,77.8,149.8,250.2,84.0,32.4,266.1,0.54,3,1,real_event,calibrated_climatological
Pasighat,Arunachal Pradesh,28.9537,95.7328,2007-08-03,74.4,158.4,250.4,64.6,40.4,33.4,0.55,2,0,real_negative_sample,calibrated_climatological
Goalpara,Assam,26.8978,90.2306,2007-08-04,11.2,44.3,113.4,52.8,13.3,20.0,0.59,1,0,real_negative_sample,calibrated_climatological
Lunglei,Mizoram,23.1491,91.9895,2007-08-06,150.4,256.9,420.1,59.2,32.5,811.6,0.63,2,0,real_negative_sample,calibrated_climatological
Kamjong,Manipur,24.0681,97.1654,2007-08-09,8.0,24.3,56.1,79.2,25.8,1200.0,0.51,2,0,real_negative_sample,calibrated_climatological
Kamjong,Manipur,23.054,96.6256,2007-08-09,38.6,104.5,192.5,58.5,34.5,1213.7,0.47,2,0,real_negative_sample,calibrated_climatological
Mokokchung,Nagaland,26.1685,94.5265,2007-08-10,94.6,190.5,282.1,57.7,26.2,1255.1,0.61,3,0,real_negative_sample,calibrated_climatological
Itanagar,Arunachal Pradesh,27.2361,93.6343,2007-08-12,8.0,29.0,86.1,70.6,33.6,311.2,0.35,2,0,real_negative_sample,calibrated_climatological
Upper Siang,Arunachal Pradesh,28.6468,94.0037,2007-08-12,24.7,64.2,131.0,78.0,36.3,1699.1,0.46,2,0,real_negative_sample,calibrated_climatological
West Garo Hills,Meghalaya,26.0192,89.9562,2007-08-12,15.2,54.6,93.5,59.3,42.2,480.6,0.48,3,0,real_negative_sample,calibrated_climatological
Nagaon,Assam,27.6648,91.9775,2007-08-16,43.1,97.9,185.8,81.1,9.5,97.9,0.42,1,0,real_negative_sample,calibrated_climatological
Mokokchung,Nagaland,26.0312,94.3319,2007-08-20,14.9,32.5,66.9,57.4,39.1,1369.8,0.62,3,0,real_negative_sample,calibrated_climatological
West Garo Hills,Meghalaya,25.4073,89.0463,2007-08-20,77.2,162.8,240.1,74.4,36.6,392.7,0.54,3,0,real_negative_sample,calibrated_climatological
Upper Siang,Arunachal Pradesh,29.0306,94.5357,2007-08-23,47.8,100.6,189.2,52.6,47.4,1663.1,0.51,2,0,real_negative_sample,calibrated_climatological
Champhai,Mizoram,23.0622,93.4616,2007-08-23,59.7,121.8,232.5,54.9,29.7,1112.9,0.43,2,0,real_negative_sample,calibrated_climatological
Goalpara,Assam,27.0713,88.4308,2007-08-25,143.9,343.9,486.2,80.9,12.0,20.0,0.6,1,1,real_event,calibrated_climatological
Pasighat,Arunachal Pradesh,28.857,95.6518,2007-08-25,88.9,190.5,348.3,56.0,39.9,20.0,0.61,2,0,real_negative_sample,calibrated_climatological
Tamenglong,Manipur,24.9667,93.55,2007-08-26,182.9,468.5,776.5,82.3,46.9,1330.1,0.43,2,1,real_event,calibrated_climatological
Shillong,Meghalaya,25.5576,91.8506,2007-08-26,121.0,282.3,489.4,74.9,22.3,1423.6,0.51,3,1,real_event,calibrated_climatological
Silchar,Assam,25.2946,92.8339,2007-08-26,90.7,176.5,295.4,77.0,15.0,20.0,0.65,1,1,real_event,calibrated_climatological
Kohima,Nagaland,25.7428,93.9136,2007-08-28,82.2,158.9,285.4,74.0,32.0,1534.6,0.41,3,1,real_event,calibrated_climatological
Goalpara,Assam,27.0096,88.2548,2007-08-29,70.1,183.6,367.4,69.6,9.6,20.0,0.59,1,1,real_event,calibrated_climatological
Agartala,Tripura,22.6461,88.3403,2007-08-31,89.9,191.5,375.4,67.6,15.6,75.0,0.41,1,1,real_event,calibrated_climatological
Senapati,Manipur,25.1333,93.9667,2007-08-31,121.7,252.2,458.1,77.7,39.5,1494.8,0.52,2,1,real_event,calibrated_climatological
Kamjong,Manipur,24.4856,94.6939,2007-09-03,21.5,70.6,114.5,85.9,32.6,1301.9,0.63,2,0,real_negative_sample,calibrated_climatological
Kamjong,Manipur,23.8541,96.4789,2007-09-05,83.8,154.3,285.5,82.1,42.2,1066.3,0.62,2,0,real_negative_sample,calibrated_climatological
Goalpara,Assam,27.0683,88.2812,2007-09-05,73.2,205.9,419.6,76.0,10.3,20.0,0.64,1,1,real_event,calibrated_climatological
Goalpara,Assam,27.201,88.4883,2007-09-07,50.2,123.9,245.5,67.6,8.0,20.0,0.68,1,1,real_event,calibrated_climatological
Goalpara,Assam,27.0667,89.5833,2007-09-07,79.2,216.6,445.9,84.9,12.3,68.7,0.71,1,1,real_event,calibrated_climatological
West Garo Hills,Meghalaya,26.8833,88.2833,2007-09-07,50.0,119.3,247.3,63.6,32.5,309.4,0.56,3,1,real_event,calibrated_climatological
Senapati,Manipur,25.0604,93.9877,2007-09-08,81.1,209.2,407.6,85.8,37.2,1568.7,0.52,2,1,real_event,calibrated_climatological
Goalpara,Assam,27.1667,88.35,2007-09-09,23.5,86.4,175.4,67.1,9.0,80.5,0.48,1,1,real_event,calibrated_climatological
Kohima,Nagaland,25.4993,94.1192,2007-09-09,77.7,197.0,324.7,74.8,38.7,1484.1,0.56,3,1,real_event,calibrated_climatological
Goalpara,Assam,27.3425,88.6236,2007-09-10,105.6,229.7,440.8,79.8,21.9,20.0,0.58,1,1,real_event,calibrated_climatological
Goalpara,Assam,27.0971,90.4032,2007-09-10,51.7,107.5,228.6,71.5,10.6,41.1,0.56,1,1,real_event,calibrated_climatological
Churachandpur,Manipur,24.2451,94.0691,2007-09-10,39.6,100.9,217.2,69.7,38.7,1045.3,0.48,2,1,real_event,calibrated_climatological
Agartala,Tripura,23.8917,90.9733,2007-09-10,64.6,175.5,362.9,86.5,9.6,20.0,0.46,1,1,real_event,calibrated_climatological
Goalpara,Assam,27.2084,88.4909,2007-09-11,79.1,173.7,310.0,78.7,9.6,20.0,0.59,1,1,real_event,calibrated_climatological
Nongstoin,Meghalaya,25.52,91.27,2007-09-11,103.5,200.5,308.7,76.9,39.4,1365.9,0.49,3,1,real_event,calibrated_climatological
Thoubal,Manipur,24.4279,94.0564,2007-09-11,107.4,244.5,359.8,88.3,12.6,682.9,0.5,1,1,real_event,calibrated_climatological
Guwahati,Assam,26.1833,91.8,2007-09-13,35.7,85.0,181.6,80.7,10.8,120.0,0.51,1,1,real_event,calibrated_climatological
Goalpara,Assam,27.2872,88.2816,2007-09-18,65.6,155.2,284.8,70.7,13.8,20.0,0.5,1,1,real_event,calibrated_climatological
Goalpara,Assam,27.0875,88.4572,2007-09-20,110.2,215.5,334.4,74.6,17.3,20.0,0.54,1,1,real_event,calibrated_climatological
Kamjong,Manipur,23.295,96.7695,2007-09-20,38.3,91.1,134.0,71.7,41.3,1249.1,0.49,2,0,real_negative_sample,calibrated_climatological
Anjaw,Arunachal Pradesh,27.6935,97.1063,2007-09-21,25.2,53.7,113.5,59.2,54.6,2216.5,0.38,2,0,real_negative_sample,calibrated_climatological
Kolasib,Mizoram,24.1293,92.6921,2007-09-29,47.1,115.0,229.6,74.6,29.6,439.4,0.63,2,1,real_event,calibrated_climatological
Tura,Meghalaya,24.5537,90.1405,2007-10-02,8.8,35.5,75.7,65.6,21.1,403.8,0.55,3,0,real_negative_sample,calibrated_climatological
Dimapur,Nagaland,25.6358,93.726,2007-10-06,39.5,83.9,158.2,66.5,5.0,171.3,0.47,1,0,real_negative_sample,calibrated_climatological
Goalpara,Assam,27.1343,88.8763,2007-10-07,43.4,102.1,150.2,56.2,5.0,93.6,0.47,1,0,real_negative_sample,calibrated_climatological
Agartala,Tripura,22.5333,89.4,2007-10-15,17.3,62.7,135.4,79.7,8.0,20.0,0.55,1,1,real_event,calibrated_climatological
Kohima,Nagaland,25.7055,94.0132,2007-10-16,68.6,146.3,296.7,77.8,23.3,1492.9,0.38,3,1,real_event,calibrated_climatological
Agartala,Tripura,22.894,91.5327,2007-10-19,49.1,102.8,202.1,60.9,22.1,20.0,0.5,1,1,real_event,calibrated_climatological
Senapati,Manipur,25.4379,94.1162,2007-10-19,8.0,33.8,94.4,80.0,43.8,1647.0,0.5,2,1,real_event,calibrated_climatological
Tamenglong,Manipur,24.75,93.4333,2007-10-21,8.0,29.4,74.6,75.6,33.8,1327.9,0.53,2,1,real_event,calibrated_climatological
West Garo Hills,Meghalaya,25.8743,89.8228,2007-10-23,71.9,146.2,273.2,58.2,42.9,326.0,0.44,3,0,real_negative_sample,calibrated_climatological
Itanagar,Arunachal Pradesh,27.4782,93.1874,2007-11-14,2.0,22.1,70.9,61.2,38.8,297.8,0.52,2,0,real_negative_sample,calibrated_climatological
Anjaw,Arunachal Pradesh,27.5001,96.6966,2008-01-20,12.1,33.2,72.1,71.7,41.8,2069.0,0.52,2,0,real_negative_sample,calibrated_climatological
Agartala,Tripura,22.498,89.1487,2008-02-28,17.0,53.5,111.8,51.2,10.8,84.8,0.42,1,0,real_negative_sample,calibrated_climatological
Agartala,Tripura,23.062,91.5652,2008-03-01,45.8,103.0,213.6,66.6,5.0,36.3,0.57,1,0,real_negative_sample,calibrated_climatological
Lunglei,Mizoram,22.778,92.436,2008-03-06,18.7,55.7,112.4,62.0,36.7,846.7,0.61,2,0,real_negative_sample,calibrated_climatological
Saiha,Mizoram,22.2113,93.5925,2008-03-21,36.4,70.4,114.9,68.3,36.0,907.8,0.58,2,0,real_negative_sample,calibrated_climatological
Mokokchung,Nagaland,26.272,95.4414,2008-03-23,14.8,35.2,88.4,70.2,35.0,1345.9,0.69,3,0,real_negative_sample,calibrated_climatological
Kamjong,Manipur,24.5603,95.4871,2008-04-18,9.4,36.6,91.0,66.5,38.0,1339.9,0.47,2,0,real_negative_sample,calibrated_climatological
Goalpara,Assam,26.9207,88.4179,2008-05-11,76.0,157.7,283.8,69.5,8.9,105.1,0.44,1,0,real_negative_sample,calibrated_climatological
Agartala,Tripura,24.1626,90.2497,2008-05-12,45.8,90.2,164.1,62.9,8.8,63.9,0.46,1,0,real_negative_sample,calibrated_climatological
Agartala,Tripura,22.6535,88.8111,2008-05-17,74.5,132.5,204.8,64.0,6.5,77.5,0.56,1,0,real_negative_sample,calibrated_climatological
Silchar,Assam,24.9849,92.8411,2008-05-20,86.8,225.2,410.5,89.6,19.5,94.5,0.58,1,1,real_event,calibrated_climatological
Goalpara,Assam,27.6466,89.36,2008-05-21,51.3,114.8,194.8,64.5,17.7,73.4,0.32,1,0,real_negative_sample,calibrated_climatological
Tura,Meghalaya,24.6198,90.3304,2008-05-26,40.7,86.4,138.1,43.6,32.6,436.1,0.54,3,0,real_negative_sample,calibrated_climatological
Anjaw,Arunachal Pradesh,27.9398,96.7324,2008-06-06,102.3,241.6,379.4,65.4,40.6,2184.2,0.51,2,0,real_negative_sample,calibrated_climatological
Goalpara,Assam,26.7969,89.591,2008-06-07,80.7,190.9,287.1,76.2,8.4,27.0,0.4,1,1,real_event,calibrated_climatological
Lunglei,Mizoram,22.7581,92.5788,2008-06-07,44.2,98.6,160.1,80.9,39.1,881.8,0.45,2,0,real_negative_sample,calibrated_climatological
Kamjong,Manipur,24.9057,97.1804,2008-06-08,17.3,57.7,106.5,78.3,34.5,943.3,0.42,2,0,real_negative_sample,calibrated_climatological
Thoubal,Manipur,24.6596,93.9784,2008-06-09,61.6,135.3,228.1,72.8,8.0,674.3,0.54,1,1,real_event,calibrated_climatological
Nagaon,Assam,26.3951,93.2507,2008-06-11,102.3,221.3,364.8,68.9,7.5,118.8,0.67,1,0,real_negative_sample,calibrated_climatological
Kamjong,Manipur,22.9231,96.5016,2008-06-11,149.4,269.0,518.3,86.6,32.2,1309.7,0.3,2,1,real_event,calibrated_climatological
Saiha,Mizoram,22.4046,93.9959,2008-06-12,88.9,189.0,331.0,76.7,19.3,934.3,0.52,2,0,real_negative_sample,calibrated_climatological
Guwahati,Assam,26.377,91.8791,2008-06-13,68.5,164.3,267.8,42.2,10.3,34.3,0.47,1,0,real_negative_sample,calibrated_climatological
Itanagar,Arunachal Pradesh,27.0998,93.6287,2008-06-14,40.7,107.0,208.5,69.4,39.1,466.8,0.5,2,1,real_event,calibrated_climatological
Longding,Arunachal Pradesh,27.427,96.0382,2008-06-14,48.1,110.7,194.4,62.8,37.6,940.3,0.7,2,0,real_negative_sample,calibrated_climatological
Kamjong,Manipur,25.0938,95.0527,2008-06-15,65.9,133.4,204.8,51.2,35.0,1227.6,0.5,2,0,real_negative_sample,calibrated_climatological
Lakhimpur,Assam,27.2298,94.0989,2008-06-15,89.7,244.4,473.3,89.9,12.3,138.9,0.47,1,1,real_event,calibrated_climatological
Churachandpur,Manipur,24.1628,93.693,2008-06-15,51.4,103.5,166.9,84.9,37.3,1023.3,0.57,2,0,real_negative_sample,calibrated_climatological
Serchhip,Mizoram,23.1031,92.8552,2008-06-16,105.1,194.9,386.5,65.9,22.4,1025.2,0.67,2,0,real_negative_sample,calibrated_climatological
Imphal,Manipur,24.9336,93.8275,2008-06-19,122.1,295.7,509.2,83.4,19.0,866.4,0.54,1,1,real_event,calibrated_climatological
West Garo Hills,Meghalaya,26.885,88.2778,2008-06-20,102.9,228.6,457.1,75.1,42.6,340.9,0.38,3,1,real_event,calibrated_climatological
Dimapur,Nagaland,26.3995,93.7497,2008-06-24,24.6,74.5,150.6,66.7,5.0,404.0,0.39,1,0,real_negative_sample,calibrated_climatological
Jorhat,Assam,26.7022,94.5188,2008-06-26,50.2,104.4,169.3,57.5,5.0,105.1,0.45,1,0,real_negative_sample,calibrated_climatological
Tezu,Arunachal Pradesh,27.9574,96.387,2008-06-28,45.2,105.7,183.2,76.5,7.6,197.3,0.55,1,0,real_negative_sample,calibrated_climatological
West Garo Hills,Meghalaya,26.89,88.28,2008-06-29,118.3,266.3,436.4,60.7,44.1,447.9,0.37,3,1,real_event,calibrated_climatological
Goalpara,Assam,27.0771,88.482,2008-06-30,87.6,202.4,362.3,83.2,8.4,140.7,0.61,1,1,real_event,calibrated_climatological
Goalpara,Assam,27.5119,89.6958,2008-07-02,37.3,91.8,159.1,64.9,5.5,108.4,0.54,1,0,real_negative_sample,calibrated_climatological
Thoubal,Manipur,23.6103,95.1389,2008-07-03,54.7,123.6,181.7,80.5,12.4,874.3,0.48,1,0,real_negative_sample,calibrated_climatological
Anjaw,Arunachal Pradesh,28.1464,96.9263,2008-07-05,26.1,60.0,106.7,81.3,35.6,2159.3,0.53,2,0,real_negative_sample,calibrated_climatological
Kamjong,Manipur,24.0115,96.4446,2008-07-06,42.5,87.6,174.2,75.9,38.3,1239.7,0.48,2,0,real_negative_sample,calibrated_climatological
West Garo Hills,Meghalaya,26.6715,88.7816,2008-07-07,94.0,213.5,309.9,67.8,37.9,533.4,0.47,3,0,real_negative_sample,calibrated_climatological
Itanagar,Arunachal Pradesh,29.2685,92.4206,2008-07-08,69.5,131.6,191.3,55.3,37.2,457.0,0.64,2,0,real_negative_sample,calibrated_climatological
Kohima,Nagaland,25.82,93.9949,2008-07-09,119.9,253.0,459.9,80.0,34.5,1318.7,0.53,3,0,real_negative_sample,calibrated_climatological
Serchhip,Mizoram,23.1757,92.9246,2008-07-12,65.2,124.1,209.6,57.7,38.8,1153.8,0.6,2,0,real_negative_sample,calibrated_climatological
Longding,Arunachal Pradesh,26.4785,96.2182,2008-07-15,75.4,177.4,289.9,59.3,42.7,879.7,0.54,2,0,real_negative_sample,calibrated_climatological
Agartala,Tripura,22.8535,90.4085,2008-07-15,81.9,175.8,276.6,63.0,11.6,20.0,0.44,1,0,real_negative_sample,calibrated_climatological
Goalpara,Assam,29.2949,90.726,2008-07-17,90.4,199.3,265.8,67.7,5.0,20.0,0.57,1,0,real_negative_sample,calibrated_climatological
Agartala,Tripura,24.379,91.7355,2008-07-18,89.5,182.4,274.2,51.8,6.7,20.0,0.58,1,0,real_negative_sample,calibrated_climatological
Goalpara,Assam,27.809,89.8696,2008-07-18,45.5,96.9,161.3,81.0,12.4,51.3,0.46,1,0,real_negative_sample,calibrated_climatological
Agartala,Tripura,22.4656,89.651,2008-07-21,105.4,231.3,343.8,54.5,16.7,82.5,0.39,1,0,real_negative_sample,calibrated_climatological
East Jaintia Hills,Meghalaya,25.3553,92.0904,2008-07-28,81.6,189.9,356.8,66.6,32.6,762.2,0.56,3,0,real_negative_sample,calibrated_climatological
Kamjong,Manipur,25.606,96.275,2008-07-30,137.3,330.9,597.8,89.6,41.2,1060.7,0.51,2,1,real_event,calibrated_climatological
Dawki,Meghalaya,24.896,91.9022,2008-08-01,61.3,163.4,274.1,69.6,47.3,515.3,0.39,3,1,real_event,calibrated_climatological
Itanagar,Arunachal Pradesh,29.1659,92.0232,2008-08-01,76.7,176.9,237.1,67.2,38.6,247.0,0.53,2,0,real_negative_sample,calibrated_climatological
Kamjong,Manipur,23.9269,96.5508,2008-08-01,97.4,209.2,402.3,65.7,33.7,1254.6,0.56,2,0,real_negative_sample,calibrated_climatological
Guwahati,Assam,26.5585,92.107,2008-08-02,54.8,130.4,255.2,52.5,5.0,20.0,0.51,1,0,real_negative_sample,calibrated_climatological
Agartala,Tripura,23.207,90.558,2008-08-03,63.1,148.3,237.3,87.5,8.2,20.0,0.63,1,0,real_negative_sample,calibrated_climatological
Tezu,Arunachal Pradesh,28.4598,96.1055,2008-08-05,50.6,102.3,189.9,53.8,13.0,243.4,0.58,1,0,real_negative_sample,calibrated_climatological
West Garo Hills,Meghalaya,25.2486,89.8732,2008-08-07,65.0,120.2,196.9,61.2,35.5,233.7,0.58,3,0,real_negative_sample,calibrated_climatological
Kohima,Nagaland,25.705,94.04,2008-08-07,91.5,214.4,327.6,78.5,28.7,1487.2,0.38,3,1,real_event,calibrated_climatological
Nagaon,Assam,26.4447,93.0907,2008-08-08,62.8,152.0,261.3,58.2,17.2,169.1,0.45,1,0,real_negative_sample,calibrated_climatological
Champhai,Mizoram,22.2706,95.4562,2008-08-11,145.3,244.0,438.8,53.1,29.4,980.2,0.38,2,0,real_negative_sample,calibrated_climatological
Champhai,Mizoram,23.0669,94.212,2008-08-12,33.0,70.6,161.5,77.2,22.8,1088.1,0.46,2,0,real_negative_sample,calibrated_climatological
Phek,Nagaland,25.7002,95.8125,2008-08-12,97.7,170.6,280.0,75.8,24.7,1658.0,0.45,3,0,real_negative_sample,calibrated_climatological
Lakhimpur,Assam,27.163,94.0,2008-08-14,89.8,227.7,409.9,84.1,8.0,112.4,0.74,1,1,real_event,calibrated_climatological
Kamjong,Manipur,22.9,96.48,2008-08-16,100.0,200.0,365.5,81.8,36.4,1220.6,0.33,2,1,real_event,calibrated_climatological
Lunglei,Mizoram,22.3421,91.8242,2008-08-18,88.1,226.1,368.0,54.7,43.6,990.3,0.43,2,1,real_event,calibrated_climatological
Mokokchung,Nagaland,26.138,94.25,2008-08-19,34.7,99.7,186.3,87.8,25.0,1305.0,0.53,3,1,real_event,calibrated_climatological
Tura,Meghalaya,23.5803,88.54,2008-08-23,61.7,115.6,199.0,55.1,36.8,292.6,0.64,3,0,real_negative_sample,calibrated_climatological
Kamjong,Manipur,25.1188,95.1079,2008-08-23,73.6,181.0,359.7,61.3,16.3,1145.0,0.42,2,0,real_negative_sample,calibrated_climatological
Lunglei,Mizoram,22.344,91.8188,2008-08-23,160.0,353.6,568.9,79.7,40.8,1042.6,0.62,2,1,real_event,calibrated_climatological
Diphu,Assam,26.2682,93.3537,2008-08-26,111.8,201.8,318.0,66.0,12.9,271.6,0.6,1,0,real_negative_sample,calibrated_climatological
Agartala,Tripura,22.219,90.2865,2008-08-26,50.2,100.0,168.8,77.2,7.4,20.0,0.65,1,0,real_negative_sample,calibrated_climatological
Jorhat,Assam,26.6306,94.2964,2008-08-26,56.8,124.8,247.7,49.3,9.9,138.4,0.73,1,0,real_negative_sample,calibrated_climatological
Dimapur,Nagaland,26.4129,93.7389,2008-08-27,8.0,38.0,87.2,70.4,5.0,203.6,0.54,1,0,real_negative_sample,calibrated_climatological
Goalpara,Assam,27.337,88.609,2008-08-28,12.0,44.1,112.2,64.1,10.5,20.0,0.61,1,1,real_event,calibrated_climatological
Goalpara,Assam,27.05,90.8,2008-08-29,60.0,122.4,219.4,67.6,11.4,20.0,0.4,1,1,real_event,calibrated_climatological
Kohima,Nagaland,25.67,94.1066,2008-08-29,173.9,375.4,667.8,91.0,33.5,1401.3,0.58,3,1,real_event,calibrated_climatological
Itanagar,Arunachal Pradesh,28.4119,92.342,2008-09-02,111.7,197.0,365.5,59.1,37.6,350.4,0.36,2,0,real_negative_sample,calibrated_climatological
Agartala,Tripura,23.6135,90.0024,2008-09-08,9.2,39.3,84.1,69.4,14.0,79.6,0.4,1,0,real_negative_sample,calibrated_climatological
Nagaon,Assam,26.3853,92.6132,2008-09-11,34.3,71.5,138.8,57.0,10.2,20.0,0.54,1,0,real_negative_sample,calibrated_climatological
Guwahati,Assam,26.5743,91.9683,2008-09-15,5.0,37.5,95.2,59.6,5.0,179.2,0.54,1,0,real_negative_sample,calibrated_climatological
Kamjong,Manipur,24.3765,95.5921,2008-09-17,67.4,128.4,178.2,59.4,40.6,1139.3,0.67,2,0,real_negative_sample,calibrated_climatological
Goalpara,Assam,28.9983,88.3479,2008-09-19,52.9,124.5,190.3,61.2,12.0,20.0,0.63,1,0,real_negative_sample,calibrated_climatological
Dibrugarh,Assam,27.6965,94.7386,2008-09-24,50.5,113.7,174.2,71.7,5.5,179.9,0.58,1,0,real_negative_sample,calibrated_climatological
Karimganj,Assam,24.4738,91.7154,2008-10-04,40.1,100.1,167.8,70.1,5.0,20.0,0.41,1,0,real_negative_sample,calibrated_climatological
Agartala,Tripura,23.4094,89.4399,2008-10-05,54.3,130.4,260.6,60.3,5.4,20.0,0.43,1,0,real_negative_sample,calibrated_climatological
Goalpara,Assam,28.6897,90.4479,2008-10-10,51.0,109.6,194.6,81.1,7.4,101.5,0.43,1,0,real_negative_sample,calibrated_climatological
